name,Battles,Wins,Losses,Win Rate (%)
Destruction Of The Endless,0,0,0,0.0
Detective Chimp,0,0,0,0.0
Detroit Steel,0,0,0,0.0
Devastator,0,0,0,0.0
Devilman,0,0,0,0.0
Dilara,0,0,0,0.0
DL Hawkins,0,0,0,0.0
Doc Green,0,0,0,0.0
Doc Samson,0,0,0,0.0
Doctor Double X,0,0,0,0.0
Doctor Mid-Nite,0,0,0,0.0
Doctor Occult,1,1,0,100.0
Doctor Octopus (Shattered Dimensions),1,0,1,0.0
Doctor Octopus (SONY),0,0,0,0.0
Doctor Octopus,0,0,0,0.0
Doctor Poison,0,0,0,0.0
Doctor Sivana,0,0,0,0.0
Doctor Strange (Classic),0,0,0,0.0
Domino (FOX),0,0,0,0.0
Domino,0,0,0,0.0
Donna Troy,0,0,0,0.0
Doom Slayer,0,0,0,0.0
Doomguy,1,1,0,100.0
Doomsday (Hunter Prey),0,0,0,0.0
Doomsday,0,0,0,0.0
Doppelganger,0,0,0,0.0
Dormammu,0,0,0,0.0
Doubloon,0,0,0,0.0
Dove II,1,0,1,0.0
Dove (Titans),0,0,0,0.0
Dr Manhattan,0,0,0,0.0
Dracula,0,0,0,0.0
Drax the Destroyer,0,0,0,0.0
Duela Dent,0,0,0,0.0
Dum Dum Dugan,0,0,0,0.0
Ebony Maw (MCU),0,0,0,0.0
Echo Zane,0,0,0,0.0
Ed,0,0,0,0.0
Edward Elric,0,0,0,0.0
Edward Kenway,0,0,0,0.0
Egg Fu,0,0,0,0.0
Ego (MCU),0,0,0,0.0
Ego,0,0,0,0.0
El Diablo (DCEU),0,0,0,0.0
El Diablo,0,0,0,0.0
Elastigirl,0,0,0,0.0
Electro (SONY),0,0,0,0.0
Electro,0,0,0,0.0
Elektra (Fox),0,0,0,0.0
Elektra (MCU),0,0,0,0.0
Elektra,0,0,0,0.0
Elle Bishop,0,0,0,0.0
Elongated Man (CW),0,0,0,0.0
Elongated Man,0,0,0,0.0
Emma Frost (FOX),0,0,0,0.0
Emma Frost,0,0,0,0.0
Enchantress (DCEU),0,0,0,0.0
Eradicator,0,0,0,0.0
Erik Killmonger,0,0,0,0.0
Ethan Hunt,1,0,1,0.0
Etrigan,0,0,0,0.0
